"","ID","title","description","streetaddress","city","state","amenityfeatures","type","notes","dateadded","lastmodified","Year","full.address","lon","lat","geoAddress","Status"
"48",669,"Fleet","","2013 Taussig","Norfolk","VA","(M) - Mixed or partially straight","Restaurant",NA,"11/8/2019 12:41pm","11/8/2019 1:32pm",1976,"2013 Taussig, Norfolk, VA",-76.2858726,36.8507689,"norfolk, va, usa","Google Verified Location"
"49",544,"Fleet","","2013 Taussig","Norfolk","VA","(M) - Mixed Crowds","Restaurant","","9/7/2019 10:27am","9/7/2019 11:06am",1974,"2013 Taussig, Norfolk, VA",-76.2858726,36.8507689,"norfolk, va, usa","Google Verified Location"
"50",501,"Fleet","","2013 Taussig","Norfolk","VA","(M) - Mixed Crowds","Restaurant",NA,"10/1/2019 5:02pm","10/5/2019 1:09pm",1973,"2013 Taussig, Norfolk, VA",-76.2858726,36.8507689,"norfolk, va, usa","Google Verified Location"
"51",2164,"Virginia Beach","","","Norfolk","VA","Cruisy Area","Cruising Areas","","","",1976,", Norfolk, VA",-76.285873,36.850769,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"52",1496,"Raphael's ","(after hours)","Granby St. ","Norfolk","VA","(YC) - Young and/or collegiate types,""(C) - Coffee, soft drinks and sometimes snacks"",(*) - Very popular","Restaurant","","","",1973,"Granby St. , Norfolk, VA",-76.285873,36.850769,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"53",167,"Virginia Beach","","","Norfolk","VA","Cruisy Area","Cruising Areas","","9/7/2019 12:58pm","9/7/2019 1:18pm",1974,", Norfolk, VA",-76.285873,36.850769,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"54",3346,"Late Late Show","(Some ladies) (Must be sponsored by a member) Inquire locally","","Norfolk","VA","(P) - Private club - Inquire locally to admission,(D) - Dancing,(AH) - After Hours,""(L) - Ladies/Ms, but seldom exclusively unless noted""","Bars/Clubs","","","",1980,", Norfolk, VA",-76.285873,36.850769,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"55",1576,"Virginia Beach","","","Norfolk","VA","Cruisy Areas","Cruising Areas","","","",1973,", Norfolk, VA",-76.285873,36.850769,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"56",2672,"Virginia Beach","","","Norfolk","VA","Cruisy Area","Cruising Areas","","","",1975,", Norfolk, VA",-76.285873,36.850769,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"57",2397,"Virginia Beach ","","","Norfolk","VA","Cruisy Area","Cruising Areas","","","",1977,", Norfolk, VA",-76.285873,36.850769,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"58",2003,"Cougar Lounge","","Colley Ave","Norfolk","VA","(M) - Mixed or partially straight","Bars/Clubs","","","",1976,"Colley Ave, Norfolk, VA",-76.285873,36.850769,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
