ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
100,Kikiki,,723 Morgan,Tampa,FL,(*) - Very popular,Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
104,Turf,,221 Datura,West Palm Beach,FL,,Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
105,Blue Room,,86 Cain N.W.,Atlanta,GA,"(RT) - 'Raunchy types' - downtown type places - often hustlers,(*) - Very popular",Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
106,Cameo Lounge,"Will be moving in '69 about one blk away
",182 Spring N.W.,Atlanta,GA,"(RT) - 'Raunchy types' - downtown type places - often hustlers,(*) - Very popular",Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
107,Cove,,586 Worcester,Atlanta,GA,(*) - Very popular,Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
108,Dupree,,715 Ponce de Leon,Atlanta,GA,"(M) - Mixed Crowds,(RT) - 'Raunchy types' - downtown type places - often hustlers,""(G) - Girls, but rarely exclusively""",Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
109,Joy Lounge,,557 Ponce de Leon,Atlanta,GA,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
110,La Cuisine,,468 Mitchell,Atlanta,GA,"(S) - Shows - impersonators or record pantomime acts - often touristy,(RT) - 'Raunchy types' - downtown type places - often hustlers,(B) - Blacks predominate",Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
111,Mrs. P's,"Ponce de Leon Hotel
",551 Ponce de Leon,Atlanta,GA,"(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Hotels",,,9/4/2019 3:58pm,12/7/2019 2:02pm
113,Piccolo Lounge,,1129 Peachtree St.,Atlanta,GA,"""(G) - Girls, but rarely exclusively""",Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 1:47pm
114,Prince George Inn,,114 6th St. N.E.,Atlanta,GA,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/6/2019 12:47pm,9/6/2019 12:52pm
115,Red Dog Saloon,,3106 Peachtree Rd N.E.,Atlanta,GA,(M) - Mixed Crowds,Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 1:47pm
116,The Club South Baths,,76 4th St. N.W.,Atlanta,GA,,Baths,,,9/6/2019 12:47pm,9/6/2019 12:53pm
117,Rebel Room,,1001 Green St.,Augusta,GA,,Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 1:47pm
118,Checkmate,,1301 1st Ave.,Columbus,GA,(M) - Mixed Crowds,Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 1:47pm
120,Ann & Jamie's Tic Toc,,408 Broadway,Macon,GA,"(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 1:47pm
121,Basement,,3 E. Charlton at Bull,Savannah,GA,"(*) - Very popular,(D) - Dancing",Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 1:47pm
122,Blue Ball,,201 E. River St.,Savannah,GA,(*) - Very popular,Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 1:47pm
